"Organization Name","Address","City","State","Postcode","Main Phone #","Discipline","Council District","Community Board","Borough","Latitude","Longitude","Census Tract","BIN","BBL","NTA"
"Raga Massive Inc.","323 Prospect Place","Brooklyn","NY","11238","(720) 436-5099","Music","Brooklyn Council District #35","Brooklyn Community Board #8","Brooklyn","40.676971","-73.965505","205","3028580","3011530060","BK0801"
"Rajkumari Cultural Center","Office: 122-09 Liberty Ave, 2nd Fl, Richmond Hill, NY 11419","New York","NY","11418","(718) 846-5431","Multi-Discipline, Performing","Queens Council District #29","Queens Community Board #9","Queens",,,,,,
"Randall's Island Park Alliance, Inc.","10 Central Road","New York","NY","10035","(212) 830-7722","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.792269","-73.923827","240","1085645","1018190203","MN1191"
"Random Access Music, Ltd.","3368 21st St.","Astoria","NY","11106","(718) 721-8311","Music","Queens Council District #22","Queens Community Board #1","Queens","40.763387","-73.933459","45","4430811","4005280050","QN0105"
"Rattapallax, Incorporated","330 3rd Avenue","New York","NY","10010","(646) 416-4702","Literature","Manhattan Council District #1","Manhattan Community Board #6","Manhattan","40.739811","-73.982451","68","1018079","1008800042","MN0602"
"Rattlestick Productions, Inc.","224 Waverly Place","New York","NY","10014","(212) 627-2556","Theater","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.736027","-74.001855","73","1080204","1006130023","MN0203"
"Reaching for the Arts, Inc.","482 FORT WASHINGTON AVE, #2D","New York","NY","10033","(917) 868-9253","Multi-Discipline, Performing","Manhattan Council District #10","Manhattan Community Board #7","Manhattan","40.851407","-73.938081","273","1064385","1021800007","MN1202"
"Reach Into Cultural Heights, Inc.","90-04 161st St.","Jamaica","NY","11432","(718) 523-4099","Film/Video/Audio","Queens Council District #27","Queens Community Board #12","Queens","40.705199","-73.799278","44601","4208850","4097570023","QN1201"
"Recess Activities, Inc.","46 Washington Avenue","Brooklyn","NY","11205","(585) 443-3586","Multi-Discipline, Non-Perform","Manhattan Council District #1","Brooklyn Community Board #2","Brooklyn","40.697267","-73.967655","211","3054134","3018740034","BK0203"
"Recording Artists' Development, Inc.","17 Gay Street #8","New York","NY","10014","(212) 727-2625","Music","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.733645","-74.000393","71","1010266","1005930008","MN0203"
"Rector, Church Wardens, Vestrymembers of the Church of St. Luke in the Field","487 Hudson St","New York","NY","10014","(212) 924-0562","Music","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.732522","-74.006498","69","1067305","1006050031","MN0203"
"Red Bull Theater, Inc.","191 SEVENTH AVENUE","NEW YORK","NY","10011","(212) 414-5168","Theater","Manhattan Council District #6","Manhattan Community Board #4","Manhattan","40.742949","-73.996467","87","1080586","1007970002","MN0401"
"Red Fern Theatre Company, Inc.","160 East 38th Street, #10D","New York","NY","10016","(646) 554-3791","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.74842","-73.976721","80","1019099","1008930041","MN0603"
"Redhawk Indian Arts Council","1022 39th St","Brooklyn","NY","11219","(718) 686-9297","Folk Arts","Brooklyn Council District #38","Brooklyn Community Board #8","Brooklyn","40.644165","-73.992173","110","3135218","3055840009","BK1201"
"Red Hook Art Project, Inc.","291 Van Brunt Street","Brooklyn","NY","11231","(347) 889-4098","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #38","Brooklyn Community Board #6","Brooklyn","40.678839","-74.01114","5301","3396666","3005460010","BK0601"
"Red Light Contemporary Music","171 Clermont Ave","Brooklyn","NY","11205","(718) 968-5317","Music","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.692508","-73.970719","183","3058391","3020750012","BK0203"
"Red Monkey Theater Group","895 Shore Road","Bronx","NY","10464","(914) 693-1646","Theater","Bronx Council District #11","Bronx Community Board #10","Bronx","40.873618","-73.806978","504","2097423","2056500001","BX2891"
"Red Umbrella Project, Inc.","101 West 23rd St","New York","NY","10011","(347) 927-3867","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.743097","-73.993226","91","1014954","1007990035","MN0401"
"Reel Lives, Inc.","101 Avenue D","New York","NY","10009","(646) 488-2991","Film/Video/Audio","Brooklyn Council District #34","Brooklyn Community Board #1","Manhattan","40.723308","-73.976323","2602","1089381","1003777503","MN0303"
"Reel Stories Teen Filmmaking, Inc.","540 President","Brooklyn","NY","11215","(718) 768-9000","Film/Video/Audio","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn",,,,,,
"Regina Opera Company, Inc.","599 E 7th Street (Apt 1-A)","Brooklyn","NY","11218","(718) 259-2772","Music","Brooklyn Council District #43","Brooklyn Community Board #12","Brooklyn","40.637179","-73.971518","490","3126865","3053910061","BK1203"
"Regional Plan Association","4 Irving Place","New York","NY","10003","(917) 546-4304","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2","Manhattan Community Board #6","Manhattan","40.734163","-73.988627","50","1084936","1008700024","MN0602"
"Relationship Performance and Art Group, Inc.","100 Saint Marks Place apt 7","New York","NY","10009","(212) 533-9169","Theater","Manhattan Council District #2","Manhattan Community Board #3","Brooklyn","40.681391","-73.978868","12901","3018650","3009340021","BK0602"
"ReLIT NY, Inc.","PO Box 1833","New York","NY","10016","(917) 573-0034","Literature","Manhattan Council District #2","Manhattan Community Board #6","Manhattan",,,,,,
"Remember the Triangle Fire Coalition, Inc.","P.O. Box 1822","New York","NY","10113","(646) 316-2483","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #2","Manhattan",,,,,,
"Remote Theater Project","406 East 5th Street","Brooklyn","NY","11218","(347) 267-3736","Theater","Brooklyn Council District #39","Brooklyn Community Board #12","Brooklyn","40.642222","-73.975303","494","3125415","3053560022","BK1203"
"Renaissance Youth Center","3485 Third Avenue","Bronx","NY","10456","(718) 450-3466","Music","Bronx Council District #16","Bronx Community Board #3","Bronx","40.830224","-73.906233","145","2001324","2023720032","BX0302"
"Renee and Chaim Gross Foundation","526 LaGuardia Place","New York","NY","10012","(212) 529-4906","Visual Arts","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.728377","-73.998701","65","1008645","1005370032","MN0202"
"Repast Ensemble, Inc.","39-44 47th St","Sunnyside","NY","11104","(206) 930-8532","Music","Brooklyn Council District #35","Queens Community Board #2","Queens","40.74809","-73.916768","169","4001467","4001490052","QN0202"
"Research Foundation of CUNY","Research Foundation of CUNY","New York","NY","10036","(212) 652-2800","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",,,,,,
"Residency Unlimited, Inc.","360 Court Street, Unit #4","Brooklyn","NY","11231","(646) 327-8511","Visual Arts","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.681983","-73.996095","67","3004582","3003457501","BK0601"
"Resident Acting Company, Inc.","187 Chrystie St.","NEW YORK","NY","10002","(917) 626-8026","Film/Video/Audio","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.721675","-73.992031","3601","1005722","1004260034","MN0302"
"Restless Books Inc","232 3rd St","Brooklyn","NY","11215","(864) 378-5822","Literature","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.674909","-73.987671","11901","3337594","3009800008","BK0601"
"Reverend Linnette C. Williamson Memorial Park Association","54 West 129th Street","New York","NY","10027","(212) 566-0828","Multi-Discipline, Non-Perform","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.809769","-73.942346","208","1000000","1017260065","MN1002"
"Reverie Productions, Inc.","520 8th Avenue","New York","NY","10018","(212) 244-7803","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.753612","-73.992417","109","1083624","1007860001","MN0502"
"Reversing The Projections. Inc","113-35 Farmers Boulevard","Saint Albans","NY","11412","(718) 217-5117","Dance","Queens Council District #27","Queens Community Board #12","Queens","40.698506","-73.762513","526","4235658","4109880006","QN1205"
"Rhizome","235 Bowery","New York","NY","10002","(212) 219-1222","New Media","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.722424","-73.993225","3601","1005709","1004260012","MN0302"
"Rhymes With Opera, Inc.","45 Overlook Terrace Apt 4A","New York","NY","10033","(617) 688-5511","Music","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.853536","-73.93638","273","1064400","1021800057","MN1202"
"Rhythm N Dance LLC","161-04 Jamaica Ave","Jamaica","NY","11432","(703) 868-4114","Multi-Discipl, Perf & Non-Perf","Queens Council District #27","Queens Community Board #12","Queens","40.704025","-73.798437","44601","4215617","4101010011","QN1201"
"Richard Allen Center for Culture and Art","40 Peck Slip","New York","NY","10038","(917) 605-4014","Theater","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.707712","-74.001508","1501","1001338","1000970031","MN0101"
"Richmond Choral Society","P.O. Box 141002","Staten Island","NY","10314","(718) 816-7724","Music","Staten Island Council Dist #49","Staten Island Community Board #1","Staten Island",,,,,,
"Richmond County Orchestra","610 Victory Blvd.","Staten Island","NY","10301","(917) 829-0616","Music","Staten Island Council Dist #49","Staten Island Community Board #1","Staten Island","40.627499","-74.090946","33","5015142","5005890053","SI0104"
"Ridge Chorale Inc.","80 73rd Street","Brooklyn","NY","11209","(646) 220-5813","Theater","Brooklyn Council District #43","Brooklyn Community Board #10","Brooklyn","40.63452","-74.034372","38","3147721","3059150017","BK1001"
"Rincon Criollo Cultural Center, Inc.","1580 Monroe Avenue, #2","Bronx","NY","10457","(347) 679-6802","Folk Arts",,"Bronx Community Board #1","Bronx",,,,,,
"Rio Grande Union, Inc.","541 Broadway, Third Floor","New York","NY","10012","(212) 966-6999","Dance","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.723478","-73.998441","49","1007580","1004980018","MN0201"
"Ripe Time, Inc.","138 South Oxford Street","Brooklyn","NY","11217","(718) 622-3650","Theater","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.685073","-73.973221","179","3000000","3020040048","BK0203"
"Ripple Effect Artists, Inc.","600 W. 162nd St.","New York","NY","10032","(917) 773-2933","Theater","Manhattan Council District #3","Manhattan Community Board #12","Manhattan","40.837299","-73.942897","245","1063354","1021370026","MN1201"
"Riseboro Community Partnership, Inc.","565 Bushwick Avenue","New York","NY","11206","(718) 821-0254","Theater","Brooklyn Council District #34","Brooklyn Community Board #4","Brooklyn","40.699023","-73.935359","391","3071908","3031510012","BK0401"
"Rising Circle Theater Collective, Inc.","1380 Riverside Dr","New York","NY","10033","(646) 245-5050","Theater","Brooklyn Council District #35","Brooklyn Community Board #2","Manhattan","40.852295","-73.941359","275","1064332","1021790005","MN1202"
"Riverdale Choral Society","P.O. Box 436","Bronx","NY","10471","(718) 543-9091","Music","Bronx Council District #11","Bronx Community Board #8","Bronx",,,,,,
"Riverside Opera Company, Inc.","1000 Richmond Terrace box 2-8","Staten Island","NY","10301","(212) 729-4792","Music","Staten Island Council Dist #49","Staten Island Community Board #1","Staten Island","40.645075","-74.104753","9702","5000000","5000760200","SI0191"
"Riverside Symphony, Inc.","2350 Broadway","New York","NY","10024","(212) 864-4197","Music","Manhattan Council District #8","Manhattan Community Board #7","Manhattan","40.788007","-73.976747","171","1033133","1012330016","MN0702"
"Riverside Theatre, Inc.","91 Claremont Avenue","New York","NY","10027","(212) 870-6877","Multi-Discipline, Performing","Manhattan Council District #9","Manhattan Community Board #9","Manhattan","40.811452","-73.962701","205","1075480","1019910031","MN0901"
"Roaring Epiphany Production Company","161 Cornelia St","Brooklyn","NY","11221",,,,"Brooklyn Community Board #4","Brooklyn","40.691311","-73.914437","415","3077225","3033750041","BK0402"
"Roberta Wells Conservatory of Arts & Learning, Inc.","23-51 97 Street","East Elmhurst","NY","11369","(718) 565-0399","Multi-Discipl, Perf & Non-Perf","Queens Council District #21","Queens Community Board #3","Queens","40.76736","-73.873184","357","4023851","4010910050","QN0302"
"Robert H. Clampitt Foundation, Inc.","163 Amsterdam Avenue","New York","NY","10023","(202) 316-3917","Multi-Discipline, Non-Perform","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.775613","-73.983818","15302","1028849","1011390001","MN0701"
"Rockaway Artists Alliance, Inc.","260 Beach 116th Street","Rockaway Park","NY","11694","(718) 474-0861","Multi-Discipl, Perf & Non-Perf","Queens Council District #32","Queens Community Board #14","Queens","40.580701","-73.837704","938","4303771","4161660483","QN1403"
"Rockaway Film Festival, Inc.","4-15 B 72 St","Arverne","NY","11692","(508) 498-0344","Multi-Discipl, Perf & Non-Perf","Queens Council District #32","Queens Community Board #14","Queens","40.593044","-73.800706","954","4303242","4160700024","QN1402"
"Rockaway Theatre Company","1 Murray Rd","Breezy Point","NY","11697","(917) 817-5594","Theater","Queens Council District #32","Queens Community Board #14","Queens",,,,,,
"Rockaway Waterfront Alliance, Inc.","58-03 Rockaway Beach Blvd","Far Rockaway","NY","11692","(718) 327-5919","Multi-Discipline, Non-Perform","Queens Council District #31","Queens Community Board #14","Queens","40.592098","-73.78784","97202","4302052","4159260044","QN1402"
"Rocking the Boat, Inc.","812 Edgewater Rd","Bronx","NY","10474","(718) 466-5799","Multi-Discipline, Non-Perform","Bronx Council District #17","Bronx Community Board #2","Bronx","40.817921","-73.883518","11502","2006493","2027620314","BX0201"
"Rod Rodgers Dance Company, Inc.","62 East 4th Street","New York","NY","10003","(212) 674-9066","Dance","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.726706","-73.990663","38","1077964","1004590017","MN0303"
"Romare Bearden Foundation","2214 Frederick Douglass Blvd.","New York","NY","10026","(212) 924-0455","Visual Arts","Manhattan Council District #3","Manhattan Community Board #10","Manhattan","40.806591","-73.953771","220","1058442","1019250002","MN1001"
"Rooftop Films","232 Third Street, Suite E 106","Brooklyn","NY","11215","(718) 417-7362","Film/Video/Audio","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.674909","-73.987671","11901","3337594","3009800008","BK0601"
"Roosevelt Island Historical Society","531 Main St.","New York","NY","10044","(212) 688-4836","Humanities","Manhattan Council District #5","Manhattan Community Board #8","Manhattan","40.761304","-73.950301","23803","1087293","1013730040","MN0801"
"Roosevelt Island Theatre Corporation","548 Main Street","New York","NY","10044","(212) 371-4449","Multi-Discipline, Performing","Manhattan Council District #5","Manhattan Community Board #8","Manhattan","40.761957","-73.949679","23803","1084696","1013730030","MN0801"
"Roosevelt Island Youth Program, Inc.","506 Main Street","New York","NY","10044","(212) 935-3645","Music","Manhattan Council District #5","Manhattan Community Board #8","Manhattan","40.760788","-73.950994","23803","1083215","1013730001","MN0801"
"Roots&Branches Theater, Inc.","University Settlement","New York","NY","10002","(315) 497-7628","Theater","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",,,,,,
"Rosie's Theater Kids","445 West 45th Street","New York","NY","10036","(646) 434-2781","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.761177","-73.993156","12102","1026440","1010550010","MN0402"
"Roulette Intermedium, Inc.","30 Third Avenue","Brooklyn","NY","11217","(212) 219-8242","Music","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.68581","-73.980385","39","3000753","3001797503","BK0202"
"Roundabout Theatre Company, Inc.","231 West 39th Street","New York","NY","10018","(212) 719-9393","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.754576","-73.989363","113","1014499","1007890021","MN0502"
"Roundtable Ensemble, Ltd.","333 East 43rd Street","New York","NY","10017","(212) 223-2619","Theater","Manhattan Council District #4","Manhattan Community Board #6","Manhattan","40.749923","-73.970344","88","1038666","1013360015","MN0603"
"Roust Theatre Company, Inc.","211 West 107th Street","New York","NY","10025","(212) 666-3813","Theater","Manhattan Council District #8","Manhattan Community Board #7","Manhattan","40.801426","-73.965936","195","1056652","1018790021","MN0703"
"Royal Family Productions, Inc.","66 Pinehurst Ave.","New York","NY","10033","(646) 244-8207","Theater","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.85048","-73.939531","265","1064307","1021770132","MN1202"
"Royal People Group, Inc.","147-12 Archer Avenue","Jamaica","NY","11435","(718) 291-1094","Literature","Queens Council District #28","Queens Community Board #12","Manhattan",,,,,,
"RPGA Studio, Inc","6133 Alderton Street","Rego Park","NY","11374","(917) 597-3089","Visual Arts","Queens Council District #29","Queens Community Board #6","Queens","40.728043","-73.869998","687","4072728","4031010077","QN0601"
"RSOAA, LLC","400 South 2nd Street","Brooklyn","NY","11211","(917) 575-7264","Visual Arts","Brooklyn Council District #45","Brooklyn Community Board #2","Brooklyn","40.709382","-73.95149","527","3063215","3024250017","BK0102"
"Rubin Museum of Art","150 W 17th St","New York","NY","10011","(212) 620-0628","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.740224","-73.997727","81","1014595","1007920064","MN0401"
"Rush Philanthropic Arts Foundation","334 Grand Avenue","Brooklyn","NY","11238","(212) 997-3034","Visual Arts","Manhattan Council District #5","Manhattan Community Board #3","Brooklyn","40.686462","-73.962432","201","3056218","3019657501","BK0204"
"Russian American Cultural Center","520 E 76th St # 7E","New York","NY","10021","(212) 744-5168","Multi-Discipline, Non-Perform","Manhattan Council District #8","Manhattan Community Board #8","Manhattan","40.769146","-73.951179","13201","1046307","1014870039","MN0801"
"Russian American Cultural Heritage Center","34 Hillside Ave 4C","New York, NY","NY","10040","(212) 567-5834","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #7","Manhattan Community Board #12","Manhattan","40.858448","-73.929279","283","1064130","1021710052","MN1202"
"Russian-American Foundation, Inc.","1560 Broadway, Suite 500","New York","NY","10036","(212) 687-6132","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.75886","-73.984843","125","1022661","1009990003","MN0502"
"Russian Musical Arts Society of America, Inc.","731 West 183rd Street","New York","NY","10033","(212) 928-1402","Music","Manhattan Council District #7","Manhattan Community Board #12","Manhattan","40.851994","-73.937224","273","1064410","1021800085","MN1202"
"Ruth Williams Dance Foundation, Inc.","2090 Adam Clayton Powell Jr. Boulevard","New York","NY","10027","(212) 662-6403","Dance",,"Manhattan Community Board #10","Manhattan",,,,,,
"RX Art, Inc.","208 Forsyth Street","New York","NY","10002","(212) 260-8797","Visual Arts","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.722934","-73.990519","3601","1005614","1004220044","MN0302"
"Ryan Repertory Company, Inc.","2445 Bath Avenue","New York","NY","11214","(917) 613-9740","Theater","Brooklyn Council District #47","Brooklyn Community Board #11","Brooklyn","40.594879","-73.991819","302","3186057","3068770001","BK1103"
"S.E.M. Ensemble, Inc.","25 Columbia Place","Brooklyn","NY","11201","(718) 488-7659","Music","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.693107","-73.998601","7","3002274","3002590012","BK0201"
"S.I.T.U., Inc.","127 Second Avenue, #19","New York","NY","10003","(212) 260-3546","Dance",,"Manhattan Community Board #2","Manhattan","40.72836","-73.987852","38","1006679","1004630031","MN0303"
"S'Cool Sounds, Inc.","111 2nd Place","Brooklyn","NY","11231","(917) 488-6415","Music","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn","40.67937","-73.996788","77","3007805","3004590042","BK0601"
"Sachiyo Ito and Company, Inc.","405 West 23rd Street","New York","NY","10011","(212) 627-0265","Dance","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.746712","-74.001826","93","1077236","1007217501","MN0401"
"Sacred Music Chorale of Richmond Hill","86-20 114th Street","Richmond Hill","NY","11418","(917) 837-5783","Music","Queens Council District #30","Queens Community Board #9","Queens","40.699105","-73.835259","130","4192690","4092260069","QN0902"
"Saeko Ichinohe and Company, Inc.","159 West 53rd Street, Suite 22-H","New York","NY","10019","(212) 757-2531","Dance","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.762713","-73.981261","131","1023166","1010067501","MN0502"
"Safe Harbors Indigenous Collective","511 Ave of the Americas","New York City","NY","10011","(551) 208-2844","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #3","Manhattan","40.736875","-73.997203","71","1010653","1006090047","MN0203"
"Saint Alban's Episcopal Church","76 Saint Alban's Place","Staten Island","NY","10312","(718) 984-7756","Music","Staten Island Council Dist #51","Staten Island Community Brd #3","Staten Island","40.544249","-74.160822","15601","5107683","5052390048","SI0302"
"Saint Mary's Community Services, Inc.","230 Classon Avenue","Brooklyn","NY","11205","(718) 230-0827","Multi-Discipline, Performing","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.692769","-73.960824","193","3000000","3019090047","BK0204"
"Salmagundi Club","47 Fifth Avenue","New York","NY","10003","(212) 255-7740","Visual Arts","Manhattan Council District #2","Manhattan Community Board #2","Manhattan","40.73435","-73.994808","61","1009274","1005690004","MN0202"
"Salon de Virtuosi","c/o Erika White","New York","NY","10017","(914) 589-6880","Music","Manhattan Council District #4","Manhattan Community Board #5","Manhattan",,,,,,
"Salvadori Center","475 Riverside Drive, Suite 239","New York","NY","10115","(212) 870-3970","Architecture/Design","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.811101","-73.964168","205","1059835","1019910001","MN0901"
"Salvation Army","86-07 35th Avenue","Jackson Heights","NY","11372","(212) 337-7201","Multi-Discipline, Performing","Queens Council District #25","Queens Community Board #3","Queens","40.752206","-73.880785","279","4437130","4014470035","QN0301"
"Salvatones, Inc.","1280 Fifth Avenue, #18C","New York","NY","10029","(212) 784-6176","Music","Manhattan Council District #9","Manhattan Community Board #11","Manhattan","40.796304","-73.949614","17401","1089046","1016157501","MN1101"
"Salvatore LaRussa Dance Co.","66-79","Middle Village","NY","11379","(917) 686-7429","Dance","Queens Council District #30","Queens Community Board #5","Queens",,,,,,
"Sandbox Percussion Inc.","169 54th Street","Brooklyn","NY","11220","(248) 821-1397","Music","Brooklyn Council District #38","Brooklyn Community Board #7","Brooklyn","40.647345","-74.02005","1803","3014135","3008120026","BK0702"
"Sandy Ground Historical Society","1538 Woodrow Road","Staten Island, New York","NY","10309","(718) 317-5796","Museum","Staten Island Council Dist #51","Staten Island Community Brd #3","Staten Island","40.541234","-74.21656","20803","5085733","5070200098","SI0304"
"Sarah Michelson, Inc.","140 Second Ave #501","New York","NY","10003","(212) 375-8283","Dance","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.728956","-73.987401","38","1006362","1004500006","MN0303"
"Saratoga International Theater Institute, Inc.","520 Eighth Avenue, Ste. 310","New York","NY","10018","(212) 868-0860","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.753612","-73.992417","109","1083624","1007860001","MN0502"
"Sato Yamamoto","267 Grand street","Brooklyn","NY","11211","(646) 640-8255","Visual Arts","Brooklyn Council District #34","Brooklyn Community Board #1","Manhattan","40.717969","-73.993283","16",,,"MN0301"
"Scandinavian American Theater Company","520 8th Ave","New York","NY","10018","(646) 508-2263","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.753612","-73.992417","109","1083624","1007860001","MN0502"
"Scandinavian East Coast Museum","440 Ovington Avenue","Brooklyn","NY","11209","(718) 567-9620","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #43","Brooklyn Community Board #10","Brooklyn","40.633219","-74.022795","130","3146599","3058920024","BK1001"
"Scan-Harbor, Inc.","345 E 102nd St","New York","NY","10029","(212) 427-2244","Multi-Discipline, Performing","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.787394","-73.942709","164","1086440","1016747501","MN1101"
"School News Nationwide, Inc.","1072 Fulton Street","New York","NY","11238","(718) 753-9920","Visual Arts","Brooklyn Council District #35","Brooklyn Community Board #13","Brooklyn","40.681613","-73.958004","227","3000000","3020160012","BK0301"
"School of American Ballet, Inc.","70 Lincoln Center Plaza","New York","NY","10023","(212) 769-6600","Dance","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.773997","-73.984479","149","1077844","1011377501","MN0701"
"Science and Arts Engagement New York, Inc.","300 West 53rd Street","New York","NY","10019","(917) 434-9035","Science","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.764344","-73.985167","133","1025323","1010437502","MN0402"
"Science Live Productions Inc","515 E 7th St","Brooklyn","NY","11218","(718) 724-3563","Science","Brooklyn Council District #39","Brooklyn Community Board #12","Brooklyn","40.639361","-73.971931","490","3126254","3053760058","BK1203"
"Screen Slate, Inc","253 Huron St","Brooklyn","NY","11222","(347) 834-7738","Film/Video/Audio","Brooklyn Council District #35","Brooklyn Community Board #1","Brooklyn","40.733417","-73.950758","57901","3336917","3025240042","BK0101"
"Sculptors Alliance Inc.","305 East 11 Street Apt 5D","New York","NY","10003","(212) 982-4135","Visual Arts","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.730136","-73.985777","4001","1079353","1004530011","MN0303"
"Sculpture Center, Inc.","44-19 Purves St","Long Island City","NY","11101","(718) 361-1750","Visual Arts","Queens Council District #26","Queens Community Board #2","Queens","40.747013","-73.941173","1902","4461880","4002670014","QN0201"
"SeaChange Capital Partners","1385 Broadway","New York","NY","10018","(212) 336-1500",,,,"Manhattan","40.752613","-73.987389","109","1015262","1008130055","MN0502"
"Sea Dog Theater","209 E 16th St","New York City","NY","10003","(646) 463-0542","Theater","Manhattan Council District #2","Manhattan Community Board #6","Manhattan","40.7345","-73.98591","48","1019537","1008970050","MN0602"
"Seaport Museum New York","12 Fulton St","New York","NY","10038","(212) 748-8770","Museum","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.706631","-74.003495","1502","1085798","1000740001","MN0101"
"Search and Restore, Inc.","332 Gates Avenue, Apt 1","New York City","NY","11216","(617) 548-3961","Music","Brooklyn Council District #36","Brooklyn Community Board #3","Manhattan",,,,,,
"Seaside Summer Concert Series, Inc.","32 Court Street","Brooklyn","NY","11201","(212) 297-4888","Music","Brooklyn Council District #47","Brooklyn Community Board #13","Brooklyn","40.693014","-73.990758","9","3002248","3002550044","BK0201"
"Sebastian Chamber Players, Inc.","163 Saint Nicholas Avenue","New York","NY","10026","(262) 345-2224","Music","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.80527","-73.952782","220","1058418","1019247501","MN1001"
"Second Generation Productions, Inc.","80-17 Bell Blvd.","Hollis Hills","NY","11427","(212) 334-4777","Theater","Queens Council District #23","Queens Community Board #11","Queens","40.733809","-73.75495","129102","4164775","4077900026","QN1104"
"Second Stage Theatre","1501 Broadway","New York","NY","10036","(212) 787-8302","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.757103","-73.986193","119","1024706","1010150029","MN0502"
"Secret City","316 West 94th Street, #6B","New York","NY","10025","(917) 208-7948","Multi-Discipline, Performing","Brooklyn Council District #33","Brooklyn Community Board #1","Manhattan","40.794369","-73.975167","179","1034140","1012520072","MN0702"
"Seedco Financial Services","915 Broadway","New York","NY","10010","(212) 204-1300","Other","Manhattan Council District #2","Manhattan Community Board #5","Manhattan","40.739644","-73.989654","52","1016226","1008490070","MN0501"
"Seeing for Ourselves Inc","101 Clark Street","New York","NY","11201","(914) 413-5378","Photography","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.697285","-73.992304","1","3001727","3002320001","BK0201"
"Segue Foundation, Inc.","300 Bowery","New York","NY","10012","(917) 608-2733",,,"Manhattan Community Board #2","Manhattan","40.724557","-73.992463","5502","1008206","1005210082","MN0202"
"SENS Production, Inc.","148 Classon Ave.","Brooklyn","NY","11205","(718) 302-5024","Dance","Brooklyn Council District #33","Brooklyn Community Board #1","Brooklyn","40.695453","-73.961428","191","3054626","3018950042","BK0204"
"Sephardic Community Youth Center","1901 Ocean Parkway","Brooklyn","NY","11223","(718) 627-4300",,,"Brooklyn Community Board #15","Brooklyn","40.60211","-73.966289","416","3190468","3070880001","BK1501"
